particle_id,birth_time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,mass_amu,charge_state
1,5.881456753561207e-07,-0.14790264184562493,-0.27887114894377557,-1.5,134.32511755882027,35.0124673046817,1959.6285811837352,100.0,1
2,7.801309701043152e-07,0.08009184858246424,0.15790549484612112,-1.5,112.06530850932239,102.65570364774028,1958.6516942538378,100.0,1
3,7.341582979366403e-07,0.10765373017272338,-0.4011871265613601,-1.5,16.637035244135305,-131.81545308032113,1960.0411173375028,100.0,1
4,6.737510599970912e-07,-0.4849767121099817,-0.04017110159777707,-1.5,78.90904694613717,66.07592393376989,1961.8411303804603,100.0,1
5,2.722034342985517e-07,0.15779615871599836,0.41203820036815236,-1.5,115.18119716042197,-12.08244016973823,1961.122278881755,100.0,1
6,4.2303970149919377e-07,0.34595138361528854,0.02055299631887473,-1.5,-140.9268230670477,-42.683142260359574,1959.012778460912,100.0,1
7,4.906482662202744e-07,-0.40835545413217494,0.030124910775155812,-1.5,91.95750262434123,137.47672076493276,1957.5641126729276,100.0,1
8,1.3677852282023542e-07,0.14799153358288317,-0.4696922218391134,-1.5,163.31133968768148,-28.249656246771913,1957.5353507708323,100.0,1
9,1.1595200395230603e-07,0.15551065016543886,0.2569868252641097,-1.5,-33.264676471735115,92.85421795947498,1962.0613756385135,100.0,1
10,7.696808735112113e-07,-0.3090932065892788,0.2662681094203641,-1.5,-116.83692016800573,97.81205760996377,1958.6207447430684,100.0,1
11,4.868281149256884e-07,0.3528767566912448,0.08515628647168971,-1.5,-90.79110085095164,50.40115652399622,1961.7925439998612,100.0,1
12,5.737287546511715e-07,-0.4646442952829543,-0.10769296937853742,-1.5,124.28006023655271,-48.571505355636994,1960.0021841215425,100.0,1
13,6.797813207062159e-07,-0.45932443430206865,-0.0074932353939183806,-1.5,68.12314076866657,-28.04840917803675,1963.1571029086097,100.0,1
14,2.9736384955872215e-07,0.015198333196986465,0.001987274470373836,-1.5,-149.43896612351386,73.1088676999054,1957.4821519323502,100.0,1
15,3.268892962927459e-07,0.3568890687707132,0.21489331869393866,-1.5,-28.74415548188179,12.624412275263275,1964.2880857976177,100.0,1
16,5.772251461165626e-07,0.28398375695437256,-0.25999921303533563,-1.5,-151.59155150040456,16.90931637255761,1958.6085271946624,100.0,1
17,3.315005490547116e-07,-0.3588183894842012,0.03881600990965838,-1.5,96.09480621161609,58.70904672307283,1961.308828899251,100.0,1
18,1.7111991285808618e-07,-0.037308408264127194,0.4270540838679807,-1.5,41.235727554035584,-10.259416043676149,1964.0793378633316,100.0,1
